Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste, ChristmasTree
MondayNight,01-04-16,M,0,M,0,0
MondayNight,01-11-16,M,M,0,0,M
MondayNight,01-18-16,M,0,M,0,0
MondayNight,01-25-16,M,M,0,0,M
MondayNight,02-01-16,M,0,M,0,0
MondayNight,02-08-16,M,M,0,0,0
MondayNight,02-15-16,M,0,M,0,0
MondayNight,02-22-16,M,M,0,0,0
MondayNight,02-29-16,M,0,M,0,0
MondayNight,03-07-16,M,M,0,0,0
MondayNight,03-14-16,M,0,M,0,0
MondayNight,03-21-16,M,M,0,M,0
MondayNight,03-28-16,M,0,M,0,0
MondayNight,04-04-16,M,M,0,M,0
MondayNight,04-11-16,M,0,M,0,0
MondayNight,04-18-16,M,M,0,M,0
MondayNight,04-25-16,M,0,M,0,0
MondayNight,05-02-16,M,M,0,M,0
MondayNight,05-09-16,M,0,M,0,0
MondayNight,05-16-16,M,M,0,M,0
MondayNight,05-23-16,M,0,M,0,0
MondayNight,05-30-16,M,M,0,M,0
MondayNight,06-06-16,M,0,M,0,0
MondayNight,06-13-16,M,M,0,M,0
MondayNight,06-20-16,M,0,M,0,0
MondayNight,06-27-16,M,M,0,M,0
MondayNight,07-04-16,M,0,M,0,0
MondayNight,07-11-16,M,M,0,M,0
MondayNight,07-18-16,M,0,M,0,0
MondayNight,07-25-16,M,M,0,M,0
MondayNight,08-01-16,M,0,M,0,0
MondayNight,08-08-16,M,M,0,M,0
MondayNight,08-15-16,M,0,M,0,0
MondayNight,08-22-16,M,M,0,M,0
MondayNight,08-29-16,M,0,M,0,0
MondayNight,09-05-16,M,M,0,M,0
MondayNight,09-12-16,M,0,M,0,0
MondayNight,09-19-16,M,M,0,M,0
MondayNight,09-26-16,M,0,M,0,0
MondayNight,10-03-16,M,M,0,M,0
MondayNight,10-10-16,M,0,M,0,0
MondayNight,10-17-16,M,M,0,M,0
MondayNight,10-24-16,M,0,M,0,0
MondayNight,10-31-16,M,M,0,M,0
MondayNight,11-07-16,M,0,M,0,0
MondayNight,11-14-16,M,M,0,M,0
MondayNight,11-21-16,M,0,M,0,0
MondayNight,11-28-16,M,M,0,M,0
MondayNight,12-05-16,M,0,M,0,0
MondayNight,12-12-16,M,M,0,M,0
MondayNight,12-19-16,M,0,M,0,0
MondayNight,12-26-16,M,M,0,0,0
Tuesday1,01-05-16,T,0,T,0,0
Tuesday1,01-12-16,T,T,0,0,T
Tuesday1,01-19-16,T,0,T,0,0
Tuesday1,01-26-16,T,T,0,0,T
Tuesday1,02-02-16,T,0,T,0,0
Tuesday1,02-09-16,T,T,0,0,0
Tuesday1,02-16-16,T,0,T,0,0
Tuesday1,02-23-16,T,T,0,0,0
Tuesday1,03-01-16,T,0,T,0,0
Tuesday1,03-08-16,T,T,0,0,0
Tuesday1,03-15-16,T,0,T,0,0
Tuesday1,03-22-16,T,T,0,T,0
Tuesday1,03-29-16,T,0,T,0,0
Tuesday1,04-05-16,T,T,0,T,0
Tuesday1,04-12-16,T,0,T,0,0
Tuesday1,04-19-16,T,T,0,T,0
Tuesday1,04-26-16,T,0,T,0,0
Tuesday1,05-03-16,T,T,0,T,0
Tuesday1,05-10-16,T,0,T,0,0
Tuesday1,05-17-16,T,T,0,T,0
Tuesday1,05-24-16,T,0,T,0,0
Tuesday1,05-31-16,T,T,0,T,0
Tuesday1,06-07-16,T,0,T,0,0
Tuesday1,06-14-16,T,T,0,T,0
Tuesday1,06-21-16,T,0,T,0,0
Tuesday1,06-28-16,T,T,0,T,0
Tuesday1,07-05-16,T,0,T,0,0
Tuesday1,07-12-16,T,T,0,T,0
Tuesday1,07-19-16,T,0,T,0,0
Tuesday1,07-26-16,T,T,0,T,0
Tuesday1,08-02-16,T,0,T,0,0
Tuesday1,08-09-16,T,T,0,T,0
Tuesday1,08-16-16,T,0,T,0,0
