_id,Schedule,CollectionDate,Organics,Garbage,Recycling,YardWaste,ChristmasTree
1,Tuesday1,2023-01-03,T,T,0,0,T
2,Tuesday1,2023-01-10,T,0,T,0,0
3,Tuesday1,2023-01-17,T,T,0,0,T
4,Tuesday1,2023-01-24,T,0,T,0,0
5,Tuesday1,2023-01-31,T,T,0,0,0
6,Tuesday1,2023-02-07,T,0,T,0,0
7,Tuesday1,2023-02-14,T,T,0,0,0
8,Tuesday1,2023-02-21,T,0,T,0,0
9,Tuesday1,2023-02-28,T,T,0,0,0
10,Tuesday1,2023-03-07,T,0,T,0,0
11,Tuesday1,2023-03-14,T,T,0,T,0
12,Tuesday1,2023-03-21,T,0,T,0,0
13,Tuesday1,2023-03-28,T,T,0,T,0
14,Tuesday1,2023-04-04,T,0,T,0,0
15,Tuesday1,2023-04-11,T,T,0,T,0
16,Tuesday1,2023-04-18,T,0,T,0,0
17,Tuesday1,2023-04-25,T,T,0,T,0
18,Tuesday1,2023-05-02,T,0,T,0,0
19,Tuesday1,2023-05-09,T,T,0,T,0
20,Tuesday1,2023-05-16,T,0,T,0,0
21,Tuesday1,2023-05-23,T,T,0,T,0
22,Tuesday1,2023-05-30,T,0,T,0,0
23,Tuesday1,2023-06-06,T,T,0,T,0
24,Tuesday1,2023-06-13,T,0,T,0,0
25,Tuesday1,2023-06-20,T,T,0,T,0
26,Tuesday1,2023-06-27,T,0,T,0,0
27,Tuesday1,2023-07-04,T,T,0,T,0
28,Tuesday1,2023-07-11,T,0,T,0,0
29,Tuesday1,2023-07-18,T,T,0,T,0
30,Tuesday1,2023-07-25,T,0,T,0,0
31,Tuesday1,2023-08-01,T,T,0,T,0
32,Tuesday1,2023-08-08,T,0,T,0,0
33,Tuesday1,2023-08-15,T,T,0,T,0
34,Tuesday1,2023-08-22,T,0,T,0,0
35,Tuesday1,2023-08-29,T,T,0,T,0
36,Tuesday1,2023-09-05,T,0,T,0,0
37,Tuesday1,2023-09-12,T,T,0,T,0
38,Tuesday1,2023-09-19,T,0,T,0,0
39,Tuesday1,2023-09-26,T,T,0,T,0
40,Tuesday1,2023-10-03,T,0,T,0,0
41,Tuesday1,2023-10-10,T,T,0,T,0
42,Tuesday1,2023-10-17,T,0,T,0,0
43,Tuesday1,2023-10-24,T,T,0,T,0
44,Tuesday1,2023-10-31,T,0,T,0,0
45,Tuesday1,2023-11-07,T,T,0,T,0
46,Tuesday1,2023-11-14,T,0,T,0,0
47,Tuesday1,2023-11-21,T,T,0,T,0
48,Tuesday1,2023-11-28,T,0,T,0,0
49,Tuesday1,2023-12-05,T,T,0,T,0
50,Tuesday1,2023-12-12,T,0,T,0,0
51,Tuesday1,2023-12-19,T,T,0,0,0
52,Tuesday1,2023-12-26,T,0,T,0,0
53,Tuesday2,2023-01-03,T,0,T,0,0
54,Tuesday2,2023-01-10,T,T,0,0,T
55,Tuesday2,2023-01-17,T,0,T,0,0
56,Tuesday2,2023-01-24,T,T,0,0,T
57,Tuesday2,2023-01-31,T,0,T,0,0
58,Tuesday2,2023-02-07,T,T,0,0,0
59,Tuesday2,2023-02-14,T,0,T,0,0
60,Tuesday2,2023-02-21,T,T,0,0,0
61,Tuesday2,2023-02-28,T,0,T,0,0
62,Tuesday2,2023-03-07,T,T,0,0,0
63,Tuesday2,2023-03-14,T,0,T,0,0
64,Tuesday2,2023-03-21,T,T,0,T,0
65,Tuesday2,2023-03-28,T,0,T,0,0
66,Tuesday2,2023-04-04,T,T,0,T,0
67,Tuesday2,2023-04-11,T,0,T,0,0
68,Tuesday2,2023-04-18,T,T,0,T,0
69,Tuesday2,2023-04-25,T,0,T,0,0
70,Tuesday2,2023-05-02,T,T,0,T,0
71,Tuesday2,2023-05-09,T,0,T,0,0
72,Tuesday2,2023-05-16,T,T,0,T,0
73,Tuesday2,2023-05-23,T,0,T,0,0
74,Tuesday2,2023-05-30,T,T,0,T,0
75,Tuesday2,2023-06-06,T,0,T,0,0
76,Tuesday2,2023-06-13,T,T,0,T,0
77,Tuesday2,2023-06-20,T,0,T,0,0
78,Tuesday2,2023-06-27,T,T,0,T,0
79,Tuesday2,2023-07-04,T,0,T,0,0
80,Tuesday2,2023-07-11,T,T,0,T,0
81,Tuesday2,2023-07-18,T,0,T,0,0
82,Tuesday2,2023-07-25,T,T,0,T,0
83,Tuesday2,2023-08-01,T,0,T,0,0
84,Tuesday2,2023-08-08,T,T,0,T,0
85,Tuesday2,2023-08-15,T,0,T,0,0
86,Tuesday2,2023-08-22,T,T,0,T,0
87,Tuesday2,2023-08-29,T,0,T,0,0
88,Tuesday2,2023-09-05,T,T,0,T,0
89,Tuesday2,2023-09-12,T,0,T,0,0
90,Tuesday2,2023-09-19,T,T,0,T,0
91,Tuesday2,2023-09-26,T,0,T,0,0
92,Tuesday2,2023-10-03,T,T,0,T,0
93,Tuesday2,2023-10-10,T,0,T,0,0
94,Tuesday2,2023-10-17,T,T,0,T,0
95,Tuesday2,2023-10-24,T,0,T,0,0
96,Tuesday2,2023-10-31,T,T,0,T,0
97,Tuesday2,2023-11-07,T,0,T,0,0
98,Tuesday2,2023-11-14,T,T,0,T,0
99,Tuesday2,2023-11-21,T,0,T,0,0
100,Tuesday2,2023-11-28,T,T,0,T,0
101,Tuesday2,2023-12-05,T,0,T,0,0
102,Tuesday2,2023-12-12,T,T,0,T,0
103,Tuesday2,2023-12-19,T,0,T,0,0
104,Tuesday2,2023-12-26,T,T,0,0,0
105,Wednesday1,2023-01-04,W,W,0,0,W
106,Wednesday1,2023-01-11,W,0,W,0,0
107,Wednesday1,2023-01-18,W,W,0,0,W
108,Wednesday1,2023-01-25,W,0,W,0,0
109,Wednesday1,2023-02-01,W,W,0,0,0
110,Wednesday1,2023-02-08,W,0,W,0,0
111,Wednesday1,2023-02-15,W,W,0,0,0
112,Wednesday1,2023-02-22,W,0,W,0,0
113,Wednesday1,2023-03-01,W,W,0,0,0
114,Wednesday1,2023-03-08,W,0,W,0,0
115,Wednesday1,2023-03-15,W,W,0,W,0
116,Wednesday1,2023-03-22,W,0,W,0,0
117,Wednesday1,2023-03-29,W,W,0,W,0
118,Wednesday1,2023-04-05,W,0,W,0,0
119,Wednesday1,2023-04-12,W,W,0,W,0
120,Wednesday1,2023-04-19,W,0,W,0,0
121,Wednesday1,2023-04-26,W,W,0,W,0
122,Wednesday1,2023-05-03,W,0,W,0,0
123,Wednesday1,2023-05-10,W,W,0,W,0
124,Wednesday1,2023-05-17,W,0,W,0,0
125,Wednesday1,2023-05-24,W,W,0,W,0
126,Wednesday1,2023-05-31,W,0,W,0,0
127,Wednesday1,2023-06-07,W,W,0,W,0
128,Wednesday1,2023-06-14,W,0,W,0,0
129,Wednesday1,2023-06-21,W,W,0,W,0
130,Wednesday1,2023-06-28,W,0,W,0,0
131,Wednesday1,2023-07-05,W,W,0,W,0
132,Wednesday1,2023-07-12,W,0,W,0,0
133,Wednesday1,2023-07-19,W,W,0,W,0
134,Wednesday1,2023-07-26,W,0,W,0,0
135,Wednesday1,2023-08-02,W,W,0,W,0
136,Wednesday1,2023-08-09,W,0,W,0,0
137,Wednesday1,2023-08-16,W,W,0,W,0
138,Wednesday1,2023-08-23,W,0,W,0,0
139,Wednesday1,2023-08-30,W,W,0,W,0
140,Wednesday1,2023-09-06,W,0,W,0,0
141,Wednesday1,2023-09-13,W,W,0,W,0
142,Wednesday1,2023-09-20,W,0,W,0,0
143,Wednesday1,2023-09-27,W,W,0,W,0
144,Wednesday1,2023-10-04,W,0,W,0,0
145,Wednesday1,2023-10-11,W,W,0,W,0
